question,answer
"Apa itu variabel dalam pemrograman?","Variabel adalah nama yang menyimpan nilai di memori. Nilainya dapat digunakan atau diubah oleh program."
"What is a variable in programming?","A variable is a named location that stores a value for a program to use or change."
"Apa perbedaan let, const, dan var di JavaScript?","let digunakan untuk nilai yang dapat diubah, const untuk referensi yang tidak dapat di-assign ulang, dan var adalah deklarasi lama dengan function scope. Gunakan let atau const pada kode modern."
"How do I declare a constant in JavaScript?","Use const, for example: const apiUrl = 'https://example.com/api';"
"Apa itu function?","Function adalah blok kode yang dapat dipanggil ulang untuk menjalankan tugas tertentu. Function dapat menerima parameter dan mengembalikan nilai."
"What is a function?","A function is reusable code that performs a specific task. It can accept parameters and return a result."
"Apa itu array?","Array adalah struktur data untuk menyimpan banyak nilai dalam satu urutan, misalnya daftar nama atau angka."
"How do I create an array in JavaScript?","Use square brackets: const colors = ['red', 'green', 'blue'];"
"Apa itu object di JavaScript?","Object menyimpan data dalam pasangan key dan value, misalnya user dengan nama, email, dan role."
"How do I access an object property?","Use dot notation such as user.name, or bracket notation such as user['name']."
"Apa itu JSON?","JSON adalah format teks untuk pertukaran data. JSON sering dipakai antara frontend, backend, dan API."
"How do I parse JSON in JavaScript?","Use JSON.parse(text) to convert valid JSON text into a JavaScript object."
"Apa itu API?","API adalah antarmuka yang memungkinkan satu aplikasi berkomunikasi dengan aplikasi atau layanan lain."
"What does HTTP status code 404 mean?","HTTP 404 means the server could not find the requested resource or route."
"Apa arti error 500?","HTTP 500 berarti terjadi kesalahan internal pada server. Periksa log backend untuk mengetahui penyebabnya."
"What is a database?","A database is an organized system for storing, querying, and updating application data."
"Apa perbedaan SQL dan NoSQL?","SQL biasanya menggunakan tabel dan schema terstruktur. NoSQL lebih fleksibel dan dapat menggunakan document, key-value, graph, atau column-family."
"What is Git?","Git is a version control system used to track changes in source code and collaborate safely."
"Bagaimana menyimpan perubahan Git?","Gunakan git add untuk memilih file, lalu git commit -m 'pesan commit' untuk menyimpan snapshot perubahan."
"How do I clone a GitHub repository?","Run git clone followed by the repository URL, for example: git clone https://github.com/user/repository.git"
"Apa fungsi git pull?","git pull mengambil perubahan terbaru dari remote repository dan menggabungkannya ke branch lokal."
"What is a branch in Git?","A branch is an independent line of development that lets you work on changes without modifying the main branch directly."
"Apa itu npm?","npm adalah package manager untuk Node.js yang digunakan untuk menginstal dependency dan menjalankan script proyek."
"How do I install Node.js dependencies?","In the project folder, run npm install. It reads package.json and installs required packages."
"Apa kegunaan package.json?","package.json menyimpan metadata proyek Node.js, daftar dependency, dan perintah script seperti npm start."
"What is Express.js?","Express.js is a lightweight web framework for Node.js used to build web servers and APIs."
"Apa itu endpoint?","Endpoint adalah URL pada API yang menerima request, misalnya GET /api/users atau POST /api/chat."
"What is the difference between GET and POST?","GET usually reads data. POST usually sends data to create or process something on the server."
"Apa itu environment variable?","Environment variable adalah nilai konfigurasi yang disimpan di luar kode, misalnya API key, password database, atau port."
"Why should I not commit .env files?","Environment files often contain passwords or API keys. Commiting them can expose secrets publicly."
"Apa itu Docker?","Docker adalah platform untuk menjalankan aplikasi dalam container yang membawa dependency dan konfigurasi yang konsisten."
"What is a VPS?","A VPS is a virtual private server: a virtual machine that you can configure and run applications on."
"Apa itu Linux permission?","Permission Linux mengatur siapa yang boleh membaca, menulis, atau menjalankan file dan folder."
"How do I make a file executable on Linux?","Use chmod +x filename, then run it with ./filename if it is a script with a valid shebang."
"Apa fungsi cd di terminal?","cd digunakan untuk berpindah folder di terminal, misalnya cd /home/user/project."
"What does pwd do?","pwd prints the full path of the current working directory."
"Apa itu Python virtual environment?","Virtual environment mengisolasi package Python per proyek agar dependency proyek tidak saling bertabrakan."
"How do I create a Python virtual environment?","Run python3 -m venv venv, then activate it with source venv/bin/activate on Linux."
"Apa itu loop?","Loop menjalankan blok kode berulang kali, misalnya untuk memproses setiap item pada array."
"What is an if statement?","An if statement runs code only when a condition evaluates to true."
"Apa itu bug?","Bug adalah kesalahan pada kode atau logika program yang menyebabkan perilaku tidak sesuai harapan."
"How should I debug an application?","Reproduce the issue, read error messages and logs, isolate the smallest failing case, then test a focused fix."
"Apa itu responsive design?","Responsive design membuat tampilan website beradaptasi dengan ukuran layar ponsel, tablet, dan desktop."
